"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"2/15/2017","1487116800","88914090.34375","1152.326610855","12.96"
"2/16/2017","1487203200","88945630.18750","1151.845910928125","12.95"
"2/17/2017","1487289600","88976958.00000","1132.67667534","12.73"
"2/18/2017","1487376000","89008169.71875","1141.9748174915625","12.83"
"2/19/2017","1487462400","89039436.90625","1142.3759755071875","12.83"
"2/20/2017","1487548800","89070824.71875","1112.4946007371875","12.49"
"2/21/2017","1487635200","89102241.59375","1139.6176699840625","12.79"
"2/22/2017","1487721600","89133228.93750","1132.883339795625","12.71"
"2/23/2017","1487808000","89164458.46875","1173.40427344875","13.16"
"2/24/2017","1487894400","89195722.06250","1171.139830680625","13.13"
"2/25/2017","1487980800","89227275.96875","1209.92186213625","13.56"
"2/26/2017","1488067200","89259096.12500","1302.29021246375","14.59"
"2/27/2017","1488153600","89290342.53125","1386.6790195103125","15.53"
"2/28/2017","1488240000","89322198.62500","1418.436514165","15.88"
"3/1/2017","1488326400","89353343.46875","1567.257644441875","17.54"
"3/2/2017","1488412800","89384974.40625","1703.677612183125","19.06"
"3/3/2017","1488499200","89416273.31250","1740.934841394375","19.47"
"3/4/2017","1488585600","89447445.96875","1661.0390716396875","18.57"
"3/5/2017","1488672000","89479007.84375","1723.365691070625","19.26"
"3/6/2017","1488758400","89510160.96875","1760.6648662553125","19.67"
"3/7/2017","1488844800","89541229.71875","1693.2246539815625","18.91"
"3/8/2017","1488931200","89572555.65625","1480.6343449978125","16.53"
"3/9/2017","1489017600","89603365.18750","1586.875597470625","17.71"
"3/10/2017","1489104000","89634392.21875","1719.187642755625","19.18"
"3/11/2017","1489190400","89665627.68750","1918.8444325125","21.40"
"3/12/2017","1489276800","89696477.21875","2087.2370248803125","23.27"
"3/13/2017","1489363200","89728090.96875","2550.9696262415625","28.43"
"3/14/2017","1489449600","89759305.81250","2569.808925411875","28.63"
"3/15/2017","1489536000","89790683.46875","3146.265548745","35.04"
"3/16/2017","1489622400","89822111.43750","4068.043427004375","45.29"
"3/17/2017","1489708800","89853953.31250","4002.09508053875","44.54"
"3/18/2017","1489795200","89885435.65625","3058.8013753821875","34.03"
"3/19/2017","1489881600","89916430.18750","3880.7931268925","43.16"
"3/20/2017","1489968000","89948100.50000","3804.80465115","42.30"
"3/21/2017","1490054400","89979116.90625","3832.2105890371875","42.59"
"3/22/2017","1490140800","90010489.25000","3739.9358283375","41.55"
"3/23/2017","1490227200","90041470.18750","3887.99068269625","43.18"
"3/24/2017","1490313600","90072311.12500","4818.8686451875","53.50"
"3/25/2017","1490400000","90103373.93750","4571.84519358875","50.74"
"3/26/2017","1490486400","90134549.40625","4552.6960905096875","50.51"
"3/27/2017","1490572800","90165551.59375","4418.11202809375","49.00"
"3/28/2017","1490659200","90196107.06250","4528.746535608125","50.21"
"3/29/2017","1490745600","90227375.34375","4780.246345711875","52.98"
"3/30/2017","1490832000","90258195.18750","4672.666764856875","51.77"
"3/31/2017","1490918400","90289403.46875","4501.829656951875","49.86"
"4/1/2017","1491004800","90320254.40625","4566.59206278","50.56"
"4/2/2017","1491091200","90350695.18750","4384.719237449375","48.53"
"4/3/2017","1491177600","90381881.43750","3991.26388428","44.16"
"4/4/2017","1491264000","90412936.75000","4017.95090917","44.44"
"4/5/2017","1491350400","90444172.06250","4079.03216001875","45.10"
"4/6/2017","1491436800","90474896.43750","3910.32502402875","43.22"
"4/7/2017","1491523200","90505970.96875","3828.402571978125","42.30"
"4/8/2017","1491609600","90536886.59375","4024.3646090921875","44.45"
"4/9/2017","1491696000","90567128.62500","3973.17993277875","43.87"
"4/10/2017","1491782400","90597165.81250","3979.027522485","43.92"
"4/11/2017","1491868800","90627616.28125","3983.0837355609375","43.95"
"4/12/2017","1491955200","90657833.31250","4227.374767361875","46.63"
"4/13/2017","1492041600","90688173.15625","4557.987582833125","50.26"
"4/14/2017","1492128000","90719162.84375","4347.2622834725","47.92"
"4/15/2017","1492214400","90749160.96875","4477.563602198125","49.34"
"4/16/2017","1492300800","90779668.15625","4415.52305912","48.64"
"4/17/2017","1492387200","90810315.65625","4417.9218566765625","48.65"
"4/18/2017","1492473600","90840832.37500","4531.140718865","49.88"
"4/19/2017","1492560000","90870444.56250","4350.8768856525","47.88"
"4/20/2017","1492646400","90900866.75000","4486.86678278","49.36"
"4/21/2017","1492732800","90931344.09375","4388.346665964375","48.26"
"4/22/2017","1492819200","90961334.40625","4403.4381986065625","48.41"
"4/23/2017","1492905600","90991825.65625","4439.4911737684375","48.79"
"4/24/2017","1492992000","91021611.12500","4545.6192595825","49.94"
"4/25/2017","1493078400","91052368.93750","4562.634207458125","50.11"
"4/26/2017","1493164800","91081701.12500","4852.83303594","53.28"
"4/27/2017","1493251200","91111031.12500","5749.1060639875","63.10"
