/*risultati da verificare*/

year(t.timestamp),month(t.timestamp),day(t.timestamp),"count(distinct i.id)/count(distinct t.txid)","count(distinct o.id)/count(distinct t.txid)"
2016,1,25,1.0000,1.0000
2016,1,26,1.0000,1.0000
2016,1,27,1.0000,1.0000
2016,1,28,1.0000,1.0000
2016,1,29,1.0000,1.0000
2016,1,30,1.0000,1.0000
2016,1,31,1.0000,1.0000
2016,2,1,1.0000,1.0000
2016,2,2,1.0000,1.0000
2016,2,3,1.0000,1.0000
2016,2,4,1.0000,1.0000
2016,2,5,1.0000,1.0000
2016,2,6,1.0000,1.0000
2016,2,7,1.0000,1.0000
2016,2,8,1.0000,1.0000
2016,2,9,1.0000,1.0000
2016,2,10,1.0000,1.0000
2016,2,11,1.0000,1.0000
2016,2,12,1.0000,1.0000
2016,2,13,1.0000,1.0000
2016,2,14,1.0000,1.0000
2016,2,15,1.0000,1.0000
2016,2,16,1.0000,1.0000
2016,2,17,1.0000,1.0000
2016,2,18,1.0000,1.0000
2016,2,19,1.0000,1.0000
2016,2,20,1.0000,1.0000
2016,2,21,1.0000,1.0000
2016,2,22,1.0000,1.0000
2016,2,23,1.0000,1.0000
2016,2,24,1.0000,1.0000
2016,2,25,1.0000,1.0000
2016,2,26,1.0000,1.0000
2016,2,27,1.0000,1.0000
2016,2,28,1.0000,1.0000
2016,2,29,1.0000,1.0000
2016,3,1,1.0000,1.0000
2016,3,2,1.0000,1.0000
2016,3,3,1.0000,1.0000
2016,3,4,1.0000,1.0000
2016,3,5,1.0000,1.0000
2016,3,6,1.0000,1.0000
2016,3,7,1.0000,1.0000
2016,3,8,1.0000,1.0000
2016,3,9,1.0000,1.0000
2016,3,10,1.0000,1.0000
2016,3,11,1.0000,1.0000
2016,3,12,1.0000,1.0000
2016,3,13,1.0000,1.0000
2016,3,14,1.0000,1.0000
2016,3,15,1.0000,1.0000
2016,3,16,1.0000,1.0000
2016,3,17,1.0000,1.0000
2016,3,18,1.0000,1.0000
2016,3,19,1.0000,1.0000
2016,3,20,1.0000,1.0000
2016,3,21,1.0000,1.0000
2016,3,22,1.0000,1.0000
2016,3,23,1.0000,1.0000
2016,3,24,1.0000,1.0000
2016,3,25,1.0000,1.0000
2016,3,26,1.0000,1.0000
2016,3,27,1.0000,1.0000
2016,3,28,1.0000,1.0000
2016,3,29,1.0000,1.0000
2016,3,30,1.0000,1.0000
2016,3,31,1.0000,1.0000
2016,4,1,1.0000,1.0000
2016,4,2,1.0000,1.0000
2016,4,3,1.0000,1.0000
2016,4,4,1.0000,1.0000
2016,4,5,1.0000,1.0000
2016,4,6,1.0000,1.0000
2016,4,7,1.0000,1.0000
2016,4,8,1.0000,1.0000
2016,4,9,1.0000,1.0000
2016,4,10,1.0000,1.0000
2016,4,11,1.0000,1.0000
2016,4,12,1.0000,1.0000
2016,4,13,1.0000,1.0000
2016,4,14,1.0000,1.0000
2016,4,15,1.0000,1.0000
2016,4,16,1.0000,1.0000
2016,4,17,1.0000,1.0000
2016,4,18,1.0000,1.0000
2016,4,19,1.0000,1.0000
2016,4,20,1.0000,1.0000
2016,4,21,1.0000,1.0000
2016,4,22,1.0000,1.0000
2016,4,23,1.0000,1.0000
2016,4,24,1.0000,1.0000
2016,4,25,1.0000,1.0000
2016,4,26,1.0000,1.0000
2016,4,27,1.0000,1.0000
2016,4,28,1.0000,1.0000
2016,4,29,1.0000,1.0000
2016,4,30,1.0000,1.0000
2016,5,1,1.0000,1.0000
2016,5,2,1.0000,1.0000
2016,5,3,1.0000,1.0000
2016,5,4,1.0000,1.0000
2016,5,5,1.0000,1.0000
2016,5,6,1.0000,1.0000
2016,5,7,1.0000,1.0000
